################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: yyx
#     Report Created on: Fri Sep 15 10:17:51 2023
#     Working Directory: /media/yyx/B63E46DF3E46986F/new_proj/sha256/spyglass
#     Report Location  : ./sha256/sha256/adv_lint/adv_lint_verify/spyglass_reports/auto-verify/Av_complexity01_fsm.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : auto-verify(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Design Complexity Analysis
#
################################################################################
#CrossProbeTag:AV_COMPLEXITY01_SS_SCH
#RuleName:Av_complexity01
##Sheet_Prop:coltooltip:1##Unique tag number for FSM, on clicking along with FSM viewer icon opens FSM viewer
##Sheet_Prop:coltooltip:2##The decompiled Current State Node
##Sheet_Prop:coltooltip:3##Name of the file which contains the FSM
##Sheet_Prop:coltooltip:4##Line Number of if/case block containing Current State Expression
##Sheet_Prop:coltooltip:5##The number of states of the FSM
##Sheet_Prop:coltooltip:6##The number of transitions in the FSM
##Sheet_Prop:coltooltip:7##The number of inputs to the FSM
##Sheet_Prop:coltooltip:8##The number of outputs from the FSM
##Sheet_Prop:coltooltip:9##The encoding style (One-Cold, One-Hot, Gray, Minimum, or Custom)
##Sheet_Prop:coltooltip:10##Type of machine (mealy, moore, or unknown)
##Sheet_Prop:coltooltip:11##Type of next state assignment (Simple or Non-static [like function calls, arithmetic operations etc.])
##Sheet_Prop:coltooltip:12##FSM initial state(s)
##Sheet_Prop:coltooltip:13##FSM depth (longest state path in the FSM)
##Sheet_Prop:coltooltip:14##The number of decision points in the FSM plus one
FSM ID,FSM,File,Line,#States,#Transitions,#Input,#Output,Encoding,Style,Next state,Initial state,Depth,Cyclomatic complexity
1,"sha256.u_sha256_axir.sta",../rtl/sha256_axir.v,136,4,7,5,4,"MINIMUMENCODED",MOORE,Simple Assignments,"s_idle (from User Rtl & Av_initstate01)",3 (s_idle to s_cmd1),4
2,"sha256.u_sha256_flow_ctl.sta",../rtl/sha256_flow_ctl.v,78,2,2,6,0,"MINIMUMENCODED",UNKNOWN,Simple Assignments,"s_msg (from User Rtl & Av_initstate01)",1 (s_msg to s_cal),1
